Feature,WT:1,WT:2,WT:3,WT:4,WT:5,WT:6,WT:7,WT:8,WT:9,WT:10,SET1:1,SET1:2,SET1:3,SET1:4,SET1:5,SET1:6,SET1:7,SET1:8,SET1:9,SET1:10,SET1-RRP6:1,SET1-RRP6:2,SET1-RRP6:3,SET1-RRP6:4,SET1-RRP6:5,SET1-RRP6:6,SET1-RRP6:7,SET1-RRP6:8,SET1-RRP6:9,SET1-RRP6:10,RRP6:1,RRP6:2,RRP6:3,RRP6:4,RRP6:5,RRP6:6,RRP6:7,RRP6:8,RRP6:9,RRP6:10
TOS6,16623.0,417.0,1107.0,95501.0,32801.0,12377.0,5609.0,52051.0,65396.0,20514.0,18820.0,5978.0,6328.0,143592.0,27391.0,7075.0,3975.0,76434.0,49562.0,22911.0,11912.0,2053.0,2766.0,44611.0,42203.0,23621.0,8367.0,5559.0,25922.0,22352.0,15017.0,947.0,4076.0,55657.0,28601.0,13292.0,7016.0,17698.0,43620.0,47793.0
MRPL10,1216.0,110.0,976.0,1455.0,2039.0,1906.0,1695.0,1828.0,2877.0,1787.0,1319.0,2275.0,1504.0,3180.0,1720.0,2835.0,2479.0,3097.0,2176.0,2960.0,3619.0,1738.0,1955.0,2576.0,1951.0,2227.0,1805.0,2313.0,5104.0,2439.0,2258.0,2648.0,1188.0,1396.0,1423.0,1836.0,2985.0,3793.0,3048.0,3530.0
TOM70,807.0,45.0,522.0,987.0,1581.0,1220.0,1089.0,1356.0,1995.0,1356.0,888.0,2230.0,741.0,2468.0,1588.0,2729.0,1825.0,2281.0,1902.0,2541.0,3726.0,2158.0,1916.0,2729.0,2361.0,2529.0,1973.0,2386.0,5149.0,2293.0,2618.0,3135.0,1489.0,1782.0,1984.0,2296.0,3358.0,3978.0,3447.0,4225.0
POL1,297.0,6.0,120.0,1211.0,654.0,227.0,381.0,1014.0,992.0,368.0,337.0,548.0,303.0,2747.0,537.0,334.0,501.0,1876.0,767.0,551.0,1035.0,541.0,601.0,2855.0,1421.0,714.0,326.0,419.0,1998.0,967.0,1023.0,720.0,765.0,2831.0,1034.0,547.0,633.0,2020.0,2323.0,1842.0
HHT2,6773.0,222.0,1847.0,8872.0,18513.0,6156.0,3078.0,7598.0,22796.0,10588.0,7735.0,5257.0,3439.0,28319.0,22307.0,8062.0,3098.0,13261.0,23822.0,18736.0,24790.0,4231.0,6511.0,19082.0,28796.0,20914.0,8496.0,6641.0,20846.0,17583.0,19720.0,4024.0,3785.0,17155.0,27529.0,16973.0,10004.0,11729.0,26123.0,43987.0
HHF2,9156.0,136.0,720.0,9658.0,18302.0,6261.0,2755.0,9070.0,26268.0,11227.0,8860.0,4193.0,1491.0,30408.0,20503.0,7495.0,3093.0,21464.0,30992.0,20106.0,26182.0,2980.0,3113.0,25128.0,34612.0,20812.0,8464.0,6037.0,25093.0,24745.0,20071.0,3391.0,2275.0,23095.0,30794.0,16803.0,11485.0,15112.0,31585.0,48131.0
NRM1,181.0,1.0,28.0,297.0,629.0,261.0,88.0,244.0,717.0,324.0,217.0,33.0,117.0,801.0,616.0,355.0,129.0,527.0,615.0,716.0,471.0,53.0,70.0,379.0,503.0,644.0,325.0,199.0,392.0,346.0,343.0,85.0,72.0,403.0,685.0,444.0,309.0,374.0,515.0,823.0
MSA1-2of2,156.0,41.0,276.0,173.0,109.0,329.0,691.0,330.0,303.0,258.0,176.0,423.0,374.0,205.0,80.0,475.0,1134.0,421.0,166.0,238.0,301.0,258.0,354.0,291.0,103.0,120.0,154.0,353.0,671.0,216.0,350.0,481.0,413.0,217.0,89.0,173.0,673.0,845.0,566.0,440.0
ACM1,86.0,0.0,63.0,265.0,64.0,27.0,109.0,206.0,212.0,80.0,90.0,84.0,435.0,515.0,86.0,44.0,186.0,600.0,187.0,142.0,307.0,77.0,633.0,1281.0,554.0,222.0,83.0,165.0,839.0,408.0,335.0,81.0,616.0,928.0,323.0,143.0,177.0,816.0,811.0,659.0
CLN2,553.0,42.0,510.0,1836.0,967.0,376.0,548.0,2106.0,2057.0,720.0,572.0,705.0,1579.0,2845.0,557.0,252.0,870.0,4546.0,1776.0,971.0,2044.0,523.0,876.0,3145.0,1841.0,1092.0,393.0,640.0,3166.0,1635.0,1204.0,590.0,1451.0,2666.0,1004.0,493.0,646.0,3228.0,3165.0,2836.0
SRP68,590.0,92.0,503.0,989.0,1236.0,1122.0,1054.0,1047.0,1762.0,1237.0,858.0,1466.0,763.0,1901.0,1202.0,1601.0,1102.0,1634.0,1370.0,2073.0,2043.0,1328.0,1198.0,1623.0,1353.0,1481.0,1218.0,1440.0,2842.0,1352.0,2253.0,2858.0,1183.0,1649.0,1670.0,1636.0,2422.0,2814.0,2563.0,3327.0
PRP46,233.0,39.0,307.0,468.0,524.0,453.0,363.0,349.0,571.0,398.0,266.0,483.0,322.0,620.0,429.0,665.0,468.0,488.0,439.0,651.0,1067.0,667.0,628.0,742.0,737.0,823.0,667.0,761.0,1402.0,660.0,1147.0,1355.0,712.0,740.0,850.0,1066.0,1337.0,1419.0,1338.0,1541.0
CLB2,177.0,10.0,25.0,41.0,411.0,585.0,300.0,142.0,327.0,416.0,165.0,96.0,39.0,130.0,505.0,1013.0,310.0,165.0,269.0,845.0,423.0,74.0,32.0,74.0,145.0,572.0,534.0,507.0,521.0,227.0,265.0,103.0,52.0,80.0,399.0,610.0,845.0,495.0,275.0,561.0
CLB5,92.0,9.0,141.0,322.0,163.0,111.0,203.0,274.0,260.0,133.0,113.0,132.0,357.0,610.0,156.0,172.0,223.0,506.0,216.0,198.0,203.0,111.0,294.0,617.0,295.0,177.0,100.0,172.0,494.0,233.0,180.0,219.0,350.0,459.0,205.0,108.0,175.0,465.0,416.0,330.0
